STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,TOBS,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT22
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/18/13,1.36,,,83,64,71,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/19/13,0,,,77,63,65,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/20/13,0,,,79,56,63,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/21/13,0,,,81,57,57,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/22/13,0.5,,,75,57,69,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/23/13,0.14,,,80,69,69,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/24/13,0,,,85,69,72,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/25/13,0.03,,,87,70,70,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/26/13,0.17,,,88,67,71,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/27/13,0,,,88,69,69,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/28/13,1.54,,,90,68,73,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/29/13,0,,,84,69,69,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/30/13,0.56,,,85,69,74,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/1/13,0.76,,,80,70,72,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/2/13,1,,,77,70,73,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/3/13,0,,,84,72,73,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/4/13,0,,,86,71,74,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/5/13,0.12,,,88,71,72,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/6/13,0,,,86,68,73,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/7/13,0,,,88,70,70,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/8/13,0,,,83,70,73,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/9/13,0.53,,,86,70,73,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/10/13,0.34,,,84,72,74,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/11/13,0.46,,,83,70,73,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/12/13,0,,,73,70,71,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,7/13/13,0.98,,,77,69,70,,,,,,,,,,,,,,
